,network,protocol,seeding_budget,mi_value,diffusion_len,active_actors_prct,seed_actors_prct,gain,selection_metric
211,ckm_physicians,OR,3,0.4,6,69.29460580912863,3.319502074688797,68.24034334763948,k_shell
212,eu_transportation,OR,3,0.4,8,100.0,3.117505995203837,100.0,k_shell
213,lazega,OR,3,0.4,1,5.633802816901409,4.225352112676056,1.4705882352941186,k_shell
214,er2,OR,3,0.4,6,8.1,3.0,5.257731958762886,k_shell
215,er3,OR,3,0.4,9,100.0,3.0,100.0,k_shell
216,er5,OR,3,0.4,8,100.0,3.0,100.0,k_shell
217,sf2,OR,3,0.4,6,79.9,3.0,79.27835051546393,k_shell
218,sf3,OR,3,0.4,6,87.8,3.0,87.42268041237114,k_shell
219,sf5,OR,3,0.4,4,98.8,3.0,98.76288659793816,k_shell
220,aucs,OR,3,0.5,0,3.278688524590164,3.278688524590164,0.0,k_shell
221,ckm_physicians,OR,3,0.5,5,24.066390041493776,3.319502074688797,21.45922746781116,k_shell
222,eu_transportation,OR,3,0.5,9,97.84172661870504,3.117505995203837,97.77227722772278,k_shell
223,lazega,OR,3,0.5,0,4.225352112676056,4.225352112676056,0.0,k_shell
224,er2,OR,3,0.5,1,3.2,3.0,0.2061855670103094,k_shell
225,er3,OR,3,0.5,3,5.2,3.0,2.2680412371134024,k_shell
226,er5,OR,3,0.5,3,4.2,3.0,1.2371134020618555,k_shell
227,sf2,OR,3,0.5,10,18.5,3.0,15.97938144329897,k_shell
228,sf3,OR,3,0.5,8,15.5,3.0,12.88659793814433,k_shell
229,sf5,OR,3,0.5,6,98.8,3.0,98.76288659793816,k_shell
230,aucs,OR,3,0.6,0,3.278688524590164,3.278688524590164,0.0,k_shell
231,ckm_physicians,OR,3,0.6,5,24.066390041493776,3.319502074688797,21.45922746781116,k_shell
232,eu_transportation,OR,3,0.6,9,97.84172661870504,3.117505995203837,97.77227722772278,k_shell
233,lazega,OR,3,0.6,0,4.225352112676056,4.225352112676056,0.0,k_shell
234,er2,OR,3,0.6,1,3.2,3.0,0.2061855670103094,k_shell
235,er3,OR,3,0.6,3,5.2,3.0,2.2680412371134024,k_shell
236,er5,OR,3,0.6,3,4.2,3.0,1.2371134020618555,k_shell
237,sf2,OR,3,0.6,5,14.7,3.0,12.061855670103093,k_shell
238,sf3,OR,3,0.6,8,15.1,3.0,12.474226804123711,k_shell
239,sf5,OR,3,0.6,7,98.8,3.0,98.76288659793816,k_shell
240,aucs,OR,3,0.7000000000000001,0,3.278688524590164,3.278688524590164,0.0,k_shell
241,ckm_physicians,OR,3,0.7000000000000001,1,3.734439834024896,3.319502074688797,0.4291845493562231,k_shell
242,eu_transportation,OR,3,0.7000000000000001,5,94.00479616306954,3.117505995203837,93.81188118811882,k_shell
243,lazega,OR,3,0.7000000000000001,0,4.225352112676056,4.225352112676056,0.0,k_shell
244,er2,OR,3,0.7000000000000001,0,3.0,3.0,0.0,k_shell
245,er3,OR,3,0.7000000000000001,2,4.2,3.0,1.2371134020618555,k_shell
246,er5,OR,3,0.7000000000000001,2,3.6,3.0,0.6185567010309274,k_shell
247,sf2,OR,3,0.7000000000000001,2,5.5,3.0,2.577319587628866,k_shell
248,sf3,OR,3,0.7000000000000001,2,6.800000000000001,3.0,3.917525773195877,k_shell
249,sf5,OR,3,0.7000000000000001,7,14.6,3.0,11.958762886597938,k_shell
250,aucs,OR,3,0.8,0,3.278688524590164,3.278688524590164,0.0,k_shell
251,ckm_physicians,OR,3,0.8,1,3.734439834024896,3.319502074688797,0.4291845493562231,k_shell
252,eu_transportation,OR,3,0.8,5,93.5251798561151,3.117505995203837,93.3168316831683,k_shell
253,lazega,OR,3,0.8,0,4.225352112676056,4.225352112676056,0.0,k_shell
254,er2,OR,3,0.8,0,3.0,3.0,0.0,k_shell
255,er3,OR,3,0.8,2,4.1000000000000005,3.0,1.1340206185567017,k_shell
256,er5,OR,3,0.8,1,3.5000000000000004,3.0,0.5154639175257736,k_shell
257,sf2,OR,3,0.8,1,5.0,3.0,2.061855670103093,k_shell
258,sf3,OR,3,0.8,2,6.5,3.0,3.608247422680413,k_shell
259,sf5,OR,3,0.8,5,11.6,3.0,8.8659793814433,k_shell
260,aucs,OR,3,0.9,0,3.278688524590164,3.278688524590164,0.0,k_shell
261,ckm_physicians,OR,3,0.9,1,3.734439834024896,3.319502074688797,0.4291845493562231,k_shell
262,eu_transportation,OR,3,0.9,6,92.0863309352518,3.117505995203837,91.83168316831684,k_shell
263,lazega,OR,3,0.9,0,4.225352112676056,4.225352112676056,0.0,k_shell
264,er2,OR,3,0.9,0,3.0,3.0,0.0,k_shell
265,er3,OR,3,0.9,2,4.1000000000000005,3.0,1.1340206185567017,k_shell
266,er5,OR,3,0.9,1,3.5000000000000004,3.0,0.5154639175257736,k_shell
267,sf2,OR,3,0.9,1,5.0,3.0,2.061855670103093,k_shell
268,sf3,OR,3,0.9,2,6.5,3.0,3.608247422680413,k_shell
269,sf5,OR,3,0.9,5,11.6,3.0,8.8659793814433,k_shell
270,aucs,OR,4,0.1,2,100.0,4.918032786885246,100.0,k_shell
271,ckm_physicians,OR,4,0.1,3,85.47717842323651,4.149377593360995,84.84848484848484,k_shell
272,eu_transportation,OR,4,0.1,4,100.0,4.07673860911271,100.0,k_shell
273,lazega,OR,4,0.1,2,100.0,4.225352112676056,100.0,k_shell
274,er2,OR,4,0.1,3,100.0,4.0,100.0,k_shell
275,er3,OR,4,0.1,3,100.0,4.0,100.0,k_shell
276,er5,OR,4,0.1,2,100.0,4.0,100.0,k_shell
277,sf2,OR,4,0.1,3,79.9,4.0,79.06250000000001,k_shell
278,sf3,OR,4,0.1,3,87.8,4.0,87.29166666666667,k_shell
279,sf5,OR,4,0.1,2,98.8,4.0,98.75,k_shell
280,aucs,OR,4,0.2,3,100.0,4.918032786885246,100.0,k_shell
281,ckm_physicians,OR,4,0.2,3,85.47717842323651,4.149377593360995,84.84848484848484,k_shell
282,eu_transportation,OR,4,0.2,5,100.0,4.07673860911271,100.0,k_shell
283,lazega,OR,4,0.2,3,100.0,4.225352112676056,100.0,k_shell
284,er2,OR,4,0.2,4,100.0,4.0,100.0,k_shell
285,er3,OR,4,0.2,4,100.0,4.0,100.0,k_shell
286,er5,OR,4,0.2,3,100.0,4.0,100.0,k_shell
287,sf2,OR,4,0.2,3,79.9,4.0,79.06250000000001,k_shell
288,sf3,OR,4,0.2,3,87.8,4.0,87.29166666666667,k_shell
289,sf5,OR,4,0.2,3,98.8,4.0,98.75,k_shell
290,aucs,OR,4,0.3,4,100.0,4.918032786885246,100.0,k_shell
291,ckm_physicians,OR,4,0.3,4,85.47717842323651,4.149377593360995,84.84848484848484,k_shell
292,eu_transportation,OR,4,0.3,6,100.0,4.07673860911271,100.0,k_shell
293,lazega,OR,4,0.3,1,8.450704225352112,4.225352112676056,4.411764705882353,k_shell
294,er2,OR,4,0.3,5,100.0,4.0,100.0,k_shell
295,er3,OR,4,0.3,4,100.0,4.0,100.0,k_shell
296,er5,OR,4,0.3,3,100.0,4.0,100.0,k_shell
